id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,neighborhood
958,"Bright, Modern Garden Unit - 1BR/1BTH",1169,Holly,,Western Addition,37.76931,-122.43386000000001,Entire home/apt,131,2,262,2020-09-16,1.92,1,206,Western Addition
5858,Creative Sanctuary,8904,Philip And Tania,,Bernal Heights,37.74511,-122.42102,Entire home/apt,235,30,111,2017-08-06,0.8,1,365,Bernal Heights
7918,A Friendly Room - UCSF/USF - San Francisco,21994,Aaron,,Haight Ashbury,37.76555,-122.45213000000001,Private room,56,32,19,2020-03-06,0.14,9,365,Haight Ashbury
8014,Newly Remodeled room in big house WIFI market,22402,Jia,,Outer Mission,37.73075,-122.44841000000001,Private room,45,5,85,2018-10-01,0.85,2,45,Outer Mission
8142,Friendly Room Apt. Style -UCSF/USF - San Francisco,21994,Aaron,,Haight Ashbury,37.76555,-122.45213000000001,Private room,56,32,8,2018-09-12,0.11,9,365,Haight Ashbury
8339,Historic Alamo Square Victorian,24215,Rosy,,Western Addition,37.77525,-122.43637,Entire home/apt,743,5,28,2019-06-28,0.21,2,0,Western Addition
8739,"Mission Sunshine, with Private Bath",7149,Ivan & Wendy,,Mission,37.7603,-122.42197,Private room,169,1,736,2020-03-16,5.41,2,179,Mission
10251,Victorian Suite in Inner Mission,35199,Roman & Sarah,,Mission,37.758309999999994,-122.41386000000001,Entire home/apt,200,30,337,2019-05-27,2.5,1,365,Mission
10578,Classic Nob Hill Studio - Roof Deck,37049,Andrew,,Nob Hill,37.79143,-122.41543999999999,Entire home/apt,120,30,18,2015-05-17,0.17,1,364,Nob Hill
10820,Haight Buena Vista Park Garden 3BR,38836,Bernat,,Haight Ashbury,37.77187,-122.43858999999999,Entire home/apt,170,30,37,2018-12-01,0.28,38,73,Haight Ashbury
10824,Victorian House in Hayes Valley - 3BED-2BA,38836,Bernat,,Western Addition,37.77355,-122.42436000000001,Entire home/apt,166,30,15,2019-08-18,0.14,38,365,Western Addition
10832,Union Square Modern Loft,38836,Bernat,,Downtown/Civic Center,37.785740000000004,-122.40798000000001,Entire home/apt,95,30,20,2019-11-12,0.21,38,365,Downtown/Civic Center
12041,Sunny/Sunset view room UCSF/USF - San Francisco,21994,Aaron,,Haight Ashbury,37.769009999999994,-122.44701,Private room,65,32,6,2018-09-20,0.05,9,365,Haight Ashbury
12042,Sunny/Sunset view room UCSF/USF - San Francisco,21994,Aaron,,Haight Ashbury,37.76932,-122.44723,Private room,65,32,5,2015-10-18,0.06,9,365,Haight Ashbury
